text_baku,label_sentimen
"Jarak antar kereta (headway) LRT masih terlalu lama, membuat stasiun penuh sesak.",Negatif
Lift khusus disabilitas sering disalahgunakan oleh penumpang yang berbadan sehat.,Negatif
Tidak ada informasi pembatalan jadwal kereta yang jelas saat terjadi gangguan listrik.,Negatif
Ruang menyusui di stasiun terkunci rapat dan petugas tidak tahu kuncinya di mana.,Negatif
"Lantai peron stasiun licin saat hujan, banyak penumpang yang tergelincir.",Negatif
Pembangunan trotoar baru justru memotong lahan jalan raya dan memperparah macet.,Negatif
"Kualitas bus mikrotrans buruk, banyak yang berkarat dan mesinnya bising.",Negatif
"Kartu berlangganan sering tidak terbaca mesin pembaca kartu, merugikan penumpang.",Negatif
Keamanan di sekitar stasiun dimalam hari sangat rawan kriminalitas.,Negatif
Program bus wisata gratis selalu penuh oleh rombongan dan tidak memberi kesempatan warga lain.,Negatif
Waktu transit antar koridor busway sangat jauh dan harus naik-turun jembatan tinggi.,Negatif
Penempatan mesin tiket mandiri di stasiun menghalangi alur jalan keluar masuk.,Negatif
Kebijakan ganjil genap tidak efektif mengurangi macet jika transportasi publik belum memadai.,Negatif
Petugas keamanan hanya bermain ponsel di pojokan peron saat penumpang berdesakan.,Negatif
"Kursi gerbong ekonomi keras sekali, membuat punggung sakit setelah perjalanan jauh.",Negatif
"Sistem refund tiket kereta online sangat lambat, butuh berhari-hari uang baru kembali.",Negatif
Suara bising dari konstruksi stasiun baru sangat mengganggu kenyamanan penumpang.,Negatif
Rute busway sering diubah mendadak tanpa sosialisasi yang cukup ke masyarakat.,Negatif
Layanan wifi gratis di stasiun tidak pernah bisa tersambung ke internet.,Negatif
"Tarif parkir inap di stasiun besar sangat mahal, membebani pengguna kendaraan pribadi.",Negatif
"Pintu darurat di halte busway sering digembok, membahayakan jika terjadi kebakaran.",Negatif
Jalur pemandu tunanetra di trotoar terhalang tiang listrik dan pohon.,Negatif
Kereta jarak jauh sering berhenti lama di tengah jalur tanpa alasan yang jelas.,Negatif
Kebijakan pembatasan bagasi penumpang kereta terlalu ketat dan merepotkan.,Negatif
Konstruksi proyek IKN menyebabkan polusi debu yang sangat tebal bagi warga sekitar.,Negatif
Banyak halte Transjakarta yang berkarat dan plafonnya terancam ambrol.,Negatif
Kepadatan penumpang KRL di jam sibuk sudah tidak manusiawi lagi.,Negatif
"Sistem deteksi kerusakan rel sangat lambat, sering memicu keterlambatan parah.",Negatif
Pengumuman gangguan operasional di stasiun hanya menggunakan bahasa daerah setempat.,Negatif
Waktu integrasi fisik antar stasiun MRT dan KRL memakan waktu jalan kaki terlalu lama.,Negatif
Hari ini saya bepergian menggunakan KRL Commuter Line tujuan Sudirman.,Netral
Pemerintah terus memantau perkembangan fisik pembangunan infrastruktur di IKN.,Netral
Jadwal keberangkatan bus Transjakarta dapat diakses melalui aplikasi resmi.,Netral
Stasiun Manggarai merupakan stasiun transit terbesar di wilayah Jabodetabek.,Netral
Pembangunan MRT Jakarta Fase 2A menghubungkan Bundaran HI hingga Kota.,Netral
Tarif perjalanan KRL ditentukan berdasarkan jarak kilometer yang ditempuh.,Netral
KRL Commuter Line memiliki gerbong khusus wanita di ujung depan dan belakang.,Netral
"LRT Jabodebek melayani rute perjalanan dari Jakarta, Bogor, Depok, hingga Bekasi.",Netral
Presiden hari ini meninjau lokasi pembangunan kantor kementerian di IKN Nusantara.,Netral
"Transjakarta mengoperasikan bus berukuran besar, sedang, maupun mikrotrans.",Netral
Sistem pembayaran tiket transportasi publik di Jakarta menggunakan kartu uang elektronik.,Netral
Gerbang pembayaran otomatis akan terbuka setelah penumpang menempelkan kartu.,Netral
Pemerintah DKI Jakarta menambah jumlah armada bus listrik secara bertahap.,Netral
Jadwal operasional KRL dimulai pukul empat pagi hingga pukul dua belas malam.,Netral
Terdapat beberapa stasiun transit penting di Jakarta seperti Tanah Abang dan Duri.,Netral
Pengumuman nama stasiun berikutnya disuarakan di dalam gerbong kereta.,Netral
IKN Nusantara terletak di perbatasan Kabupaten Penajam Paser Utara dan Kutai Kartanegara.,Netral
Peta jaringan rute KRL terpasang di atas setiap pintu masuk gerbong.,Netral
Petugas stasiun rutin memeriksa suhu tubuh penumpang di pintu masuk.,Netral
Jumlah penumpang harian commuter line dilaporkan mengalami fluktuasi.,Netral
Stasiun MRT bawah tanah dirancang dengan konstruksi tahan gempa bumi.,Netral
LRT Jakarta melayani rute pendek dari Pegangsaan Dua menuju Velodrome Rawamangun.,Netral
Trotoar di sepanjang jalan Sudirman dirancang dengan lebar sekitar lima meter.,Netral
Pemerintah menetapkan aturan kapasitas maksimal isi gerbong selama jam sibuk.,Netral
Kereta cepat Jakarta-Bandung melewati beberapa stasiun termasuk stasiun Padalarang.,Netral
Pemesanan tiket kereta api jarak jauh dapat dilakukan H-45 sebelum keberangkatan.,Netral
Halte Transjakarta Harmoni sedang dalam proses relokasi sementara.,Netral
Fasilitas eskalator dan lift stasiun dirawat secara berkala oleh teknisi.,Netral
Penggunaan pelindung wajah bagi penumpang tidak lagi diwajibkan oleh regulator.,Netral
Rute mikrotrans JakLingko melewati jalan-jalan perumahan penduduk.,Netral
Waktu tunggu kedatangan antar busway di halte terpajang di layar informasi elektronik.,Netral
Pembagian zonasi kursi penumpang di dalam kereta jarak jauh diatur secara sistematis.,Netral
Kementerian Perhubungan melakukan uji kelayakan berkala terhadap bus Transjakarta.,Netral
Stasiun Gambir tidak melayani keberangkatan penumpang KRL Commuter Line lagi.,Netral
Pembangunan jalan tol Solo-Yogyakarta ditargetkan rampung akhir tahun depan.,Netral
Trotoar jalan dipasangi ubin pemandu berwarna kuning untuk penyandang disabilitas.,Netral
Layanan kereta bandara melayani rute Manggarai menuju Bandara Soekarno-Hatta.,Netral
Pintu gerbong kereta akan terbuka secara otomatis sesampainya di peron stasiun.,Netral
Brosur panduan keselamatan perjalanan tersedia di setiap saku kursi kereta.,Netral
Tarif parkir sepeda motor di stasiun kereta menggunakan sistem tarif flat.,Netral
Sistem informasi stasiun menyiarkan pengumuman kedatangan kereta secara berkala.,Netral
Kapasitas daya angkut LRT Jabodebek dirancang untuk menampung ratusan penumpang.,Netral
Stasiun Palmerah berada dekat dengan kawasan gedung parlemen DPR RI.,Netral
Jalur khusus sepeda ditandai dengan cat berwarna hijau pada permukaan jalan.,Netral
Pemerintah daerah mengkaji rencana pembatasan usia operasional bus kota.,Netral
Pembangunan halte busway baru menyesuaikan dengan tata ruang perkotaan.,Netral
Terdapat stasiun pengisian daya listrik baterai umum di area parkir stasiun.,Netral
Pelanggan dapat menukarkan poin keanggotaan tiket dengan suvenir resmi KAI.,Netral
Uji coba operasional kereta layang terus dilakukan sebelum diresmikan.,Netral
Kebijakan tarif integrasi berlaku jika penumpang berganti moda dalam tiga jam.,Netral
Tinggi peron stasiun disesuaikan dengan tinggi pintu masuk gerbong kereta.,Netral
Pemasangan jembatan penyeberangan menghubungkan stasiun MRT dengan pusat perbelanjaan.,Netral
Kartu multi trip KRL dapat dibeli di loket stasiun commuter line.,Netral
Pemerintah mengalokasikan anggaran khusus untuk pemeliharaan jalur rel kereta.,Netral
Jumlah kunjungan pejabat negara ke lokasi IKN tercatat meningkat bulan ini.,Netral
Transjakarta menyediakan area khusus bagi penumpang wanita di bagian depan bus.,Netral
Rencana pembangunan stasiun KRL baru di kawasan permukiman sedang dievaluasi.,Netral
Petugas keamanan melakukan pemeriksaan barang bawaan penumpang secara acak.,Netral
Jadwal keberangkatan kereta api jarak jauh tertera pada tiket fisik penumpang.,Netral
Fasilitas rak bagasi di atas tempat duduk gerbong KRL digunakan untuk tas kecil.,Netral
Pemerintah mengeluarkan peta jalan pengembangan sistem logistik nasional.,Netral
Stasiun BNI City melayani naik turun penumpang KRL Commuter Line.,Netral
Lebar pintu masuk stasiun KRL disesuaikan dengan kapasitas volume komuter.,Netral
Terdapat petunjuk arah evakuasi darurat di dinding lorong stasiun.,Netral
Sistem pemantauan cuaca terhubung langsung dengan pusat kendali operasional kereta.,Netral
Pembersihan rutin kaca jendela gerbong dilakukan setiap kereta masuk depo.,Netral
Ketinggian jembatan layang disesuaikan agar aman dilewati bus tingkat.,Netral
Kebijakan park and ride bertujuan memindahkan pengendara ke transportasi publik.,Netral
Sosialisasi tata cara tap kartu dilakukan melalui poster informasi di pintu stasiun.,Netral
Rencana perpanjangan rute KRL menuju kawasan industri sedang didiskusikan.,Netral
